    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.000,    0.000,    0.000,    0.000,    0.000
    0.001,    0.804,    0.013,    0.167,    0.008
    0.004,    0.960,    0.026,    0.400,    0.023
    0.007,    1.064,    0.037,    0.663,    0.039
    0.011,    1.139,    0.048,    0.944,    0.057
    0.013,    1.127,    0.055,    1.123,    0.069
    0.014,    1.122,    0.059,    1.244,    0.077
    0.013,    1.065,    0.059,    1.240,    0.077
    0.015,    1.112,    0.061,    1.318,    0.081
    0.014,    1.077,    0.061,    1.305,    0.081
    0.013,    1.030,    0.059,    1.238,    0.077
    0.012,    0.996,    0.057,    1.170,    0.072
    0.016,    1.167,    0.063,    1.376,    0.085
    0.018,    1.200,    0.068,    1.517,    0.094
    0.017,    1.140,    0.067,    1.485,    0.092
    0.015,    1.088,    0.064,    1.406,    0.087
    0.014,    1.049,    0.062,    1.322,    0.082
    0.013,    1.016,    0.059,    1.241,    0.077
    0.012,    0.987,    0.057,    1.169,    0.072
    0.011,    0.961,    0.054,    1.103,    0.068
    0.010,    0.934,    0.052,    1.041,    0.065
    0.011,    0.990,    0.054,    1.080,    0.067
    0.010,    0.972,    0.053,    1.068,    0.066
    0.010,    0.935,    0.052,    1.018,    0.063
    0.009,    0.907,    0.050,    0.967,    0.060
    0.008,    0.884,    0.048,    0.917,    0.057
    0.008,    0.864,    0.046,    0.872,    0.054
    0.009,    0.929,    0.048,    0.919,    0.057
    0.008,    0.917,    0.048,    0.919,    0.057
    0.009,    0.965,    0.050,    0.975,    0.060
    0.009,    0.945,    0.050,    0.974,    0.060
    0.011,    1.016,    0.053,    1.062,    0.066
    0.011,    0.993,    0.053,    1.071,    0.066
    0.011,    1.028,    0.055,    1.122,    0.069
    0.011,    1.001,    0.055,    1.111,    0.069
    0.010,    0.960,    0.053,    1.061,    0.066
    0.009,    0.930,    0.051,    1.005,    0.062
    0.009,    0.905,    0.049,    0.953,    0.059
    0.011,    1.047,    0.054,    1.097,    0.068
    0.017,    1.221,    0.064,    1.405,    0.086
    0.021,    1.292,    0.072,    1.671,    0.103
    0.030,    1.436,    0.084,    2.093,    0.129
    0.031,    1.406,    0.089,    2.234,    0.138
    0.031,    1.377,    0.089,    2.246,    0.139
    0.028,    1.311,    0.086,    2.123,    0.131
    0.025,    1.253,    0.081,    1.965,    0.122
    0.022,    1.204,    0.077,    1.815,    0.113
